(Ax,Ay),(Bx,By),(Cx,Cy),(Dx,Dy)
(307.92190600378035, 323.08258008196844),(356.4366923175802, 310.9864853019851),(213.31807269187067, 346.66996490293604),(352.5555094124762, 311.95417288438375)
(302.18523992661943, 320.79116908177593),(356.0833579669788, 309.45602608679917),(211.8065868587424, 340.12300048241866),(394.23111439559716, 301.3474701449066)
(301.5192246987792, 317.364817766693),(355.78365111445066, 307.9141679950119),(208.06248816261945, 333.9613946450514),(348.8899968433652, 309.1297052386804)
(300.97319312584295, 313.91731009600653),(355.53793690662934, 306.36278954320295),(206.99772659539377, 327.23875468721275),(392.17785545006745, 301.21338480768054)
(300.54781046317265, 310.4528463267654),(355.3465147084277, 304.80378084704444),(206.1682304031867, 320.4830503371925),(391.14930294168556, 301.0407561694089)
(300.2435949740176, 306.9756473744126),(355.2096177383079, 303.2390413184857),(205.57501019933426, 313.7025123801045),(392.1194875979214, 300.65805178995305)
(300.06091729809043, 303.4899496702501),(355.1274127841407, 301.6704773516126),(202.72031166372858, 306.992650598744),(392.10487338384723, 300.37919597362)
(300.0, 300.0),(355.1, 300.1),(200.1, 300.1),(391.1, 300.1)
(300.06091729809043, 296.5100503297499),(355.1274127841407, 298.52952264838746),(200.22183459618083, 293.1201006594998),(394.10365503788546, 299.89060301978503)
(295.3557747227185, 292.7755702568669),(355.2096177383079, 296.9609586815144),(200.58718994803516, 286.148705251175),(394.11461569844107, 299.6814611575353)
(295.67520098633133, 289.1245113568964),(355.3465147084277, 295.3962191529556),(198.70931618792463, 278.9329861883002),(396.1219124185269, 299.6818861469294)
(291.1705124384273, 284.7909588943928),(355.53793690662934, 293.8372104567971),(197.0950459079781, 271.5695143031866),(396.13892772503374, 299.54330759615976)
(291.7711471686572, 280.9987004566377),(350.85961234938964, 291.4175911166535),(198.21441063249733, 264.5021235782792),(394.1911534819268, 299.0581109339984)
(292.50376391928137, 277.2297140100465),(351.19261996330977, 289.70441545911206),(197.13437284773534, 256.9583241553149),(396.1874095970648, 299.268353236729)
(288.51599147826045, 272.2789820060383),(351.58521368620023, 288.00390522001663),(196.33789748204072, 249.2964019240698),(396.21881709489605, 299.1323124176013)
(289.55490496709336, 268.4017040810452),(352.03691520308405, 286.31813220915006),(198.23504385295303, 242.21615527843022),(396.25495321624675, 298.99745057673204)
(288.35085933531946, 263.7905031609437),(347.79189160376654, 283.1040653093779),(200.37813157801773, 235.20643118126105),(396.2957739348194, 298.86393202250025)
(287.336885505691, 259.05758280091976),(348.4169058567751, 281.28889211708827),(198.06608653102967, 226.56566918498123),(396.3412295168564, 298.73191942669735)
(288.83793745198557, 255.14720879009056),(349.1048879988267, 279.49663736212483),(200.7554712681407, 219.55958241557892),(396.39126458173286, 298.60157362633635)
(285.9068177946749, 249.257919615525),(345.1872725414439, 275.595801415452),(199.0199993186278, 210.51793852332395),(394.6187272541444, 297.65958014154523)
(287.75074421260416, 245.30360665136533),(346.07235722204996, 273.69773119265534),(202.26530981418327, 203.55834770640297),(394.70723572220504, 297.46977311926554)
(285.3168129283395, 239.06869683783418),(342.7084064641698, 269.5843484189171),(205.7515295710361, 196.71625618710402),(394.80231444284647, 297.28317062328466)
(287.516697508023, 235.1),(343.8083487540115, 267.6),(209.4744111674235, 189.99999999999997),(393.1717967697245, 296.1)
(287.7336272592736, 229.88569748910035),(340.73663326905023, 263.00565150367567),(209.28917836480412, 180.86816554752892),(391.6195190384358, 294.80080735766796)
(288.17992770506936, 224.60895803144916),(342.0673699211471, 260.9564967570477),(213.56654617511558, 174.28159671908202),(390.1515491293395, 293.3896851583511)
(288.17992770506936, 224.60895803144916),(339.423725421879, 256.0161060780645),(216.0486337796994, 166.3788551034624),(387.1557280900009, 290.69543596332045)
(288.17992770506936, 224.60895803144916),(340.99919347949583, 253.92538935057567),(218.85752667045392, 158.4978606750986),(385.91580643507905, 289.0180934441382)
(288.17992770506936, 224.60895803144916),(338.8164445504818, 248.67699122507688),(223.90977808263506, 152.25884977209597),(383.24702225138253, 285.95867258689617)
(292.34400030577785, 203.07606207796556),(340.6484139618085, 246.56955149129135),(227.3188280765058, 144.52713402156542),(379.29194488663296, 281.364343021952)
(292.1990299492023, 195.90124443115036),(338.9561169712147, 241.05403851098524),(231.05514692041697, 136.8552829421356),(375.64244678848587, 276.4816154043941)
(295.9012444311504, 192.19902994920233),(337.58074665869026, 235.35941796952142),(236.85528294213563, 131.05514692041697),(372.31366518164015, 271.326407986454)
(296.384756014377, 184.9125520510039),(336.5325923959085, 229.5012415796475),(241.18148098977122, 123.60310394911883),(369.31999210749257, 265.91533802803986)
(300.4679204985864, 181.36311131655842),(335.72123903134604, 223.3955556881022),(245.83097367523055, 116.2493336514453),(366.6750442963, 260.26568895781315)
(301.59416394789474, 174.01827942292445),(338.4338524674342, 221.1989246393278),(250.80209223352793, 109.00739225036989),(364.39163443111187, 254.3953762908101)
(304.5848965024731, 168.63473841407102),(338.38254850929036, 215.1532155906305),(257.56207631907523, 103.91337886407526),(362.4817438532817, 248.32291236000336)
(307.8331709273268, 163.3088005284181),(338.5887806182179, 208.9058670189454),(263.0977386496671, 96.98579472401474),(362.07488256398926, 243.72544506625715)
(311.3385232409381, 158.05194389379864),(339.15928461318146, 202.57446894201098),(268.94498210228176, 90.20809620128458),(360.88597444674286, 237.34444088442447)
(315.0999999999999, 152.8756813566455),(340.09999999999997, 196.17695154586738),(276.3499999999999, 85.7587125633515),(360.09999999999997, 230.81796769724494)
(319.1161554194339, 147.79154023183509),(341.4160546517637, 189.73155089263415),(282.73210930352735, 79.36310178526824),(360.6643887259852, 225.93240219985015)
(323.3850493119114, 142.8110418976458),(343.11175091741995, 183.2567739811083),(290.50721330273063, 75.4014884252083),(360.646596788983, 219.208535833075)
(323.3850493119114, 142.8110418976458),(343.056869969388, 172.10363593003586),(297.3989976233605, 69.42977194524326),(361.05328226472324, 212.3996360663103)
(323.3850493119114, 142.8110418976458),(345.78204395469277, 165.6583410878158),(304.5753186789424, 63.66811708546925),(362.6393406584088, 207.38161454332126)
(337.68132384306546, 128.6060967065717),(348.79697850114974, 159.14610688211374),(312.8848634519546, 60.478381699593356),(364.52990509413047, 202.3719674382655)
(342.9318560406348, 124.1545444853966),(352.2023658718832, 152.6862399742512),(321.3006664343884, 57.580588344735844),(366.1081306187558, 195.4837832075331)
(348.4179957843127, 119.86343201156518),(355.3089296797377, 143.89497441002314),(329.1233808771228, 52.57511329588286),(368.67734143686215, 190.5161666630316)
(354.1348398360632, 115.74381200756066),(358.9732777480565, 135.14972653308058),(337.1003071440864, 47.723111168240905),(371.0693725280399, 183.6645128468804)
(360.07699951758127, 111.80658685874243),(363.715454106892, 128.924169871584),(345.94296038738247, 45.68162380921055),(374.3189503385978, 178.8096975090081)
