,(402.0562952014676, 300.5158233816355),12,1,2
,(406.9470332051367, 301.55538183572435),12,0,7
,(411.8377712088057, 302.5949402898131),12,0,12
,(416.7285092124747, 303.63449874390193),12,0,17
,(421.6192472161438, 304.67405719799075),12,0,22
,(426.5099852198128, 305.7136156520795),12,0,27
,(431.4007232234818, 306.75317410616833),12,0,32
,(436.2914612271508, 307.7927325602571),12,0,37
,(441.18219923081983, 308.8322910143459),12,0,42
,(446.0729372344889, 309.87184946843473),12,0,47
,(450.9636752381579, 310.9114079225235),12,0,52
,(455.85441324182693, 311.9509663766123),12,0,57
,(460.745151245496, 312.9905248307011),12,0,62
,(465.635889249165, 314.0300832847899),12,0,67
,(470.52662725283403, 315.0696417388787),12,0,72
,(475.41736525650305, 316.1092001929675),12,0,77
,(480.30810326017206, 317.1487586470563),12,0,82
,(485.19884126384113, 318.18831710114506),12,0,87
,(490.08957926751015, 319.2278755552339),12,0,92
,(494.98031727117916, 320.2674340093227),12,0,97
,(499.87105527484823, 321.30699246341146),12,0,102
,(504.76179327851725, 322.3465509175003),12,0,107
,(509.65253128218626, 323.38610937158904),12,0,112
,(514.5432692858553, 324.42566782567786),12,0,117
,(519.4340072895243, 325.4652262797667),12,0,122
,(524.3247452931934, 326.50478473385544),12,0,127
,(529.2154832968623, 327.54434318794426),12,0,132
,(534.1062213005314, 328.583901642033),12,0,137
,(538.9969593042005, 329.62346009612185),12,0,142
,(543.8876973078694, 330.66301855021067),12,0,147
,(548.7784353115385, 331.7025770042994),12,0,152
,(553.6691733152076, 332.74213545838825),12,0,157
,(558.5599113188765, 333.78169391247707),12,0,162
,(563.4506493225456, 334.82125236656583),12,0,167
,(568.3413873262147, 335.86081082065465),12,0,172
,(573.2321253298836, 336.9003692747434),12,0,177
,(578.1228633335527, 337.93992772883223),12,0,182
,(583.0136013372218, 338.97948618292105),12,0,187
,(587.9043393408907, 340.0190446370098),12,0,192
,(592.7950773445597, 341.05860309109863),12,0,197
,(597.6858153482287, 342.0981615451874),12,0,202
,(602.5765533518978, 343.1377199992762),12,0,207
,(607.4672913555668, 344.17727845336503),12,0,212
,(612.3580293592358, 345.2168369074538),12,0,217
,(617.2487673629049, 346.2563953615426),12,0,222
,(622.1395053665739, 347.2959538156314),12,0,227
,(627.0302433702429, 348.3355122697202),12,0,232
,(631.920981373912, 349.375070723809),12,0,237
,(636.811719377581, 350.4146291778978),12,0,242
,(641.70245738125, 351.4541876319866),12,0,247
,(646.5931953849191, 352.49374608607536),12,0,252
,(651.4839333885881, 353.5333045401642),12,0,257
,(656.3746713922571, 354.572862994253),12,0,262
,(661.2654093959262, 355.61242144834176),12,0,267
,(666.1561473995952, 356.6519799024306),12,0,272
,(668.1124426010628, 357.0678032840661),12,1,274
,(670.0687378025303, 357.4836266657016),12,1,276
,(672.025033003998, 357.8994500473371),12,1,278
,(673.9813282054656, 358.31527342897266),12,1,280
,(675.9376234069332, 358.73109681060816),12,1,282
,(677.8939186084009, 359.14692019224367),12,1,284
,(679.8502138098685, 359.5627435738792),12,1,286
,(681.8065090113361, 359.97856695551474),12,1,288
,(683.7628042128036, 360.39439033715024),12,1,290
,(675.9376234069332, 358.73109681060816),12,1,282
,(402.040591452552, 300.58384379119934),14,1,2
,(406.892070083932, 301.7934532691977),14,0,7
,(411.743548715312, 303.00306274719605),14,0,12
,(416.59502734669195, 304.21267222519435),14,0,17
,(421.44650597807197, 305.4222817031927),14,0,22
,(426.29798460945193, 306.63189118119107),14,0,27
,(431.1494632408319, 307.84150065918936),14,0,32
,(436.0009418722119, 309.0511101371877),14,0,37
,(440.8524205035919, 310.2607196151861),14,0,42
,(445.70389913497183, 311.47032909318443),14,0,47
,(450.55537776635185, 312.67993857118273),14,0,52
,(455.4068563977318, 313.8895480491811),14,0,57
,(460.2583350291118, 315.09915752717944),14,0,62
,(465.1098136604918, 316.30876700517774),14,0,67
,(469.96129229187176, 317.5183764831761),14,0,72
,(474.8127709232517, 318.72798596117445),14,0,77
,(479.66424955463174, 319.93759543917275),14,0,82
,(484.5157281860117, 321.1472049171711),14,0,87
,(489.3672068173917, 322.35681439516947),14,0,92
,(494.2186854487717, 323.56642387316776),14,0,97
,(499.07016408015164, 324.7760333511661),14,0,102
,(503.92164271153166, 325.9856428291645),14,0,107
,(508.7731213429116, 327.19525230716283),14,0,112
,(513.6245999742916, 328.40486178516113),14,0,117
,(518.4760786056715, 329.6144712631595),14,0,122
,(523.3275572370516, 330.82408074115784),14,0,127
