(Ax,Ay),(Bx,By)
(272,219,0, 0)
(56,253,0, 0)
(101,170,0, 0)
(634,390,0, 0)
(675,67,0, 0)
(705,316,0, 0)
(681,419,0, 0)
(302,473,0, 0)
(406,444,0, 0)
(234,513,0, 0)
(248,348,0, 0)
(122,124,0, 0)
(437,169,1, 0)
(597,555,0, 0)
(407,509,0, 0)
(616,556,0, 0)
(389,460,0, 0)
(599,496,0, 0)
(728,241,0, 0)
(303,416,0, 0)
(255,85,0, 0)
(309,60,0, 0)
(385,109,0, 0)
(510,79,0, 0)
(224,296,0, 0)
(172,437,0, 0)
(440,341,0, 0)
(356,155,0, 0)
(127,189,0, 0)
(585,526,0, 0)
(551,403,0, 0)
(155,361,0, 0)
(628,293,0, 0)
(605,310,0, 0)
(583,465,0, 0)
(187,430,0, 0)
(269,564,0, 0)
(620,236,0, 0)
(226,545,0, 0)
(393,29,0, 0)
(636,374,0, 0)
(683,511,0, 0)
(554,88,0, 0)
(721,86,0, 0)
(447,528,0, 0)
(24,489,0, 0)
(232,563,0, 0)
(516,179,1, 0)
(334,43,0, 0)
(155,152,0, 0)
(239,423,0, 0)
(720,399,0, 0)
(417,437,0, 0)
(146,345,0, 0)
(492,59,0, 0)
(638,444,0, 0)
(181,411,0, 0)
(728,393,0, 0)
(168,119,0, 0)
(141,77,0, 0)
(69,366,0, 0)
(531,321,0, 0)
(77,345,0, 0)
(196,399,0, 0)
(711,76,0, 0)
(730,429,0, 0)
(642,512,0, 0)
(613,550,0, 0)
(567,180,0, 0)
(490,122,0, 0)
(675,505,0, 0)
(355,481,0, 0)
(781,141,0, 0)
(190,35,0, 0)
(126,196,0, 0)
(613,414,0, 0)
(522,528,0, 0)
(637,286,0, 0)
(308,278,0, 0)
(732,189,0, 0)
(406,559,0, 0)
(352,546,0, 0)
(657,400,0, 0)
(415,549,0, 0)
(224,310,0, 0)
(399,205,0, 0)
(541,388,1, 0)
(323,328,0, 0)
(347,179,0, 0)
(145,227,0, 0)
(185,330,0, 0)
(545,577,0, 0)
(771,522,0, 0)
(539,470,0, 0)
(710,563,0, 0)
(206,24,0, 0)
(636,140,0, 0)
(602,361,0, 0)
(710,242,0, 0)
(721,366,0, 0)
(463,208,0, 0)
(778,261,0, 0)
(49,475,0, 0)
(117,561,0, 0)
(211,572,0, 0)
(336,394,0, 0)
(760,385,0, 0)
(70,264,0, 0)
(499,557,0, 0)
(506,336,0, 0)
(198,345,0, 0)
(750,568,0, 0)
(165,367,0, 0)
(565,536,0, 0)
(114,49,0, 0)
(536,111,0, 0)
(32,415,0, 0)
(316,296,0, 0)
(676,127,0, 0)
(278,544,0, 0)
(322,196,0, 0)
(204,468,0, 0)
(124,510,0, 0)
(713,343,0, 0)
(327,375,0, 0)
(175,524,0, 0)
(718,531,0, 0)
(510,275,0, 0)
(240,200,0, 0)
(426,491,0, 0)
(447,335,0, 0)
(667,272,0, 0)
(580,72,0, 0)
(147,337,0, 0)
(432,578,0, 0)
(67,245,0, 0)
(597,449,0, 0)
(280,239,0, 0)
(314,96,0, 0)
(174,511,0, 0)
(287,505,0, 0)
(332,368,0, 0)
(284,558,0, 0)
(222,536,0, 0)
(222,268,0, 0)
(423,328,0, 0)
(244,318,0, 0)
(336,433,0, 0)
(674,182,0, 0)
(471,467,0, 0)
(615,529,0, 0)
(450,109,0, 0)
(237,197,0, 0)
(634,262,0, 0)
(543,47,0, 0)
(261,470,0, 0)
(574,566,0, 0)
(462,230,0, 0)
(446,157,1, 0)
(511,131,0, 0)
(268,77,0, 0)
(474,321,0, 0)
(781,190,0, 0)
(385,338,0, 0)
(150,519,0, 0)
(467,82,0, 0)
(257,87,0, 0)
(483,16,0, 0)
(96,157,0, 0)
(714,193,0, 0)
(686,204,0, 0)
(639,237,0, 0)
(666,166,0, 0)
(617,138,0, 0)
(197,70,0, 0)
(627,310,0, 0)
(592,388,0, 0)
(101,418,0, 0)
(681,238,0, 0)
(63,208,0, 0)
(578,566,0, 0)
(65,191,0, 0)
(766,412,0, 0)
(731,139,0, 0)
(606,165,0, 0)
(705,585,0, 0)
(761,348,0, 0)
(596,431,0, 0)
(617,101,0, 0)
(635,393,0, 0)
(671,331,0, 0)
(249,498,0, 0)
(179,53,0, 0)
(84,254,0, 0)
(607,131,0, 0)
(389,263,0, 0)
(410,503,0, 0)
(760,112,0, 0)
(41,520,0, 0)
(483,297,0, 0)
(509,409,0, 0)
(133,537,0, 0)
(768,206,0, 0)
(579,49,0, 0)
(134,574,0, 0)
(297,250,0, 0)
(634,169,0, 0)
(71,221,0, 0)
(483,121,0, 0)
(38,496,0, 0)
(238,15,0, 0)
(340,233,0, 0)
(502,576,0, 0)
(434,27,0, 0)
(642,259,0, 0)
(16,232,0, 0)
(356,143,0, 0)
(420,99,0, 0)
(726,397,0, 0)
(338,464,0, 0)
(784,468,0, 0)
(275,212,0, 0)
(289,53,0, 0)
(452,525,0, 0)
(203,266,0, 0)
(56,149,0, 0)
(333,421,0, 0)
(641,303,0, 0)
(748,69,0, 0)
(718,457,0, 0)
(654,79,0, 0)
(113,24,0, 0)
(593,20,0, 0)
(451,382,0, 0)
(654,479,0, 0)
(197,142,0, 0)
(430,475,0, 0)
(155,547,0, 0)
(385,288,0, 0)
(559,253,0, 0)
(250,290,0, 0)
(292,553,0, 0)
(640,319,0, 0)
(488,252,0, 0)
(588,169,0, 0)
(641,50,0, 0)
(453,87,0, 0)
(22,114,0, 0)
(604,363,0, 0)
(119,105,0, 0)
(257,60,0, 0)
(138,105,0, 0)
(371,187,0, 0)
(107,477,0, 0)
(408,157,1, 0)
(748,295,0, 0)
(269,548,0, 0)
(780,581,0, 0)
(566,346,1, 0)
(173,527,0, 0)
(219,536,0, 0)
(349,380,0, 0)
(37,79,0, 0)
(397,395,0, 0)
(519,251,0, 0)
(228,473,0, 0)
(153,54,0, 0)
(478,120,0, 0)
(616,328,0, 0)
(289,211,0, 0)
(58,495,0, 0)
(192,428,0, 0)
(562,137,0, 0)
(565,534,0, 0)
(763,453,0, 0)
(556,459,0, 0)
(580,540,0, 0)
(750,242,0, 0)
(113,392,0, 0)
(383,368,0, 0)
(288,204,0, 0)
(639,557,0, 0)
(682,415,0, 0)
(259,571,0, 0)
(222,226,0, 0)
(637,559,0, 0)
(296,319,0, 0)
(307,292,0, 0)
(338,81,0, 0)
(641,21,0, 0)
(406,41,0, 0)
(549,273,1, 0)
(353,338,0, 0)
(512,129,0, 0)
(370,249,0, 0)
(713,356,0, 0)
(535,579,0, 0)
(477,307,0, 0)
(42,270,0, 0)
(572,28,0, 0)
(405,69,0, 0)
(23,162,0, 0)
(174,326,0, 0)
(205,555,0, 0)
(271,295,0, 0)
(544,248,0, 0)
(530,150,0, 0)
(385,459,0, 0)
(616,428,0, 0)
(400,349,0, 0)
(39,524,0, 0)
(308,143,0, 0)
(51,565,0, 0)
(657,495,0, 0)
(46,583,0, 0)
(327,244,0, 0)
(495,71,0, 0)
(515,490,0, 0)
(321,266,0, 0)
(583,470,0, 0)
(146,141,0, 0)
(583,554,0, 0)
(444,309,0, 0)
(296,557,0, 0)
(309,35,0, 0)
(24,519,0, 0)
(104,423,0, 0)
(70,469,0, 0)
(76,366,0, 0)
(558,549,0, 0)
(344,417,0, 0)
(775,382,0, 0)
(330,508,0, 0)
(384,120,0, 0)
(164,392,0, 0)
(656,272,0, 0)
(259,331,0, 0)
(192,522,0, 0)
(291,257,0, 0)
(396,307,0, 0)
(289,224,0, 0)
(20,106,0, 0)
(339,236,0, 0)
(684,364,0, 0)
(672,108,0, 0)
(108,463,0, 0)
(424,307,0, 0)
(581,154,0, 0)
(528,233,0, 0)
(468,338,0, 0)
(426,185,0, 0)
(410,83,0, 0)
(303,353,0, 0)
(476,244,0, 0)
(543,226,0, 0)
(688,532,0, 0)
(55,447,0, 0)
(563,177,0, 0)
(312,462,0, 0)
(397,152,0, 0)
(743,21,0, 0)
(678,351,0, 0)
(508,387,1, 0)
(579,549,0, 0)
(770,54,0, 0)
(417,448,0, 0)
(308,147,0, 0)
(722,62,0, 0)
(747,345,0, 0)
(424,171,0, 0)
(501,274,0, 0)
(444,445,0, 0)
(98,244,0, 0)
(663,271,0, 0)
(681,58,0, 0)
(538,242,0, 0)
(112,338,0, 0)
(230,454,0, 0)
(569,418,0, 0)
(359,364,0, 0)
(201,73,0, 0)
(770,545,0, 0)
(763,19,0, 0)
(154,36,0, 0)
(33,233,0, 0)
(179,530,0, 0)
(605,507,0, 0)
(782,261,0, 0)
(154,347,0, 0)
(554,229,0, 0)
(234,107,0, 0)
(35,192,0, 0)
(678,415,0, 0)
(276,331,0, 0)
(499,186,1, 0)
(194,270,0, 0)
(265,267,0, 0)
(15,262,0, 0)
(235,396,0, 0)
(470,22,0, 0)
(192,29,0, 0)
(327,369,0, 0)
(721,90,0, 0)
(455,139,1, 0)
(548,88,0, 0)
(730,465,0, 0)
(119,265,0, 0)
(146,499,0, 0)
(752,123,0, 0)
(492,219,0, 0)
(488,186,1, 0)
(191,144,0, 0)
(206,172,0, 0)
(55,320,0, 0)
(324,222,0, 0)
(582,477,0, 0)
(434,113,0, 0)
(435,515,0, 0)
(309,445,0, 0)
(691,60,0, 0)
(697,298,0, 0)
(756,501,0, 0)
(76,362,0, 0)
(620,99,0, 0)
(436,453,0, 0)
(334,287,0, 0)
(215,545,0, 0)
(604,569,0, 0)
(352,548,0, 0)
(206,514,0, 0)
(764,174,0, 0)
(646,329,0, 0)
(680,118,0, 0)
(661,536,0, 0)
(539,239,0, 0)
(95,548,0, 0)
(554,426,0, 0)
(459,554,0, 0)
(87,81,0, 0)
(718,511,0, 0)
(282,350,0, 0)
(506,331,0, 0)
(25,429,0, 0)
(521,334,0, 0)
(126,571,0, 0)
(34,468,0, 0)
(566,97,0, 0)
(503,70,0, 0)
(447,463,0, 0)
(332,521,0, 0)
(611,201,0, 0)
(656,450,0, 0)
(21,32,0, 0)
(183,58,0, 0)
(264,405,0, 0)
(756,243,0, 0)
(217,546,0, 0)
(716,311,0, 0)
(363,367,0, 0)
(655,95,0, 0)
(177,173,0, 0)
(125,78,0, 0)
(136,444,0, 0)
(512,195,1, 0)
(344,295,0, 0)
(500,90,0, 0)
(259,265,0, 0)
(638,378,0, 0)
(503,119,0, 0)
(414,138,1, 0)
(289,445,0, 0)
(126,373,0, 0)
(735,81,0, 0)
(15,74,0, 0)
(131,171,0, 0)
(414,554,0, 0)
(114,153,0, 0)
(503,192,1, 0)
(684,504,0, 0)
(774,90,0, 0)
(419,128,0, 0)
(125,108,0, 0)
(366,431,0, 0)
(484,247,0, 0)
(575,223,0, 0)
(186,267,0, 0)
(61,525,0, 0)
(759,315,0, 0)
(605,207,0, 0)
(462,363,0, 0)
(108,230,0, 0)
(242,166,0, 0)
(26,316,0, 0)
(144,397,0, 0)
(15,203,0, 0)
(265,163,0, 0)
(197,140,0, 0)
(369,163,0, 0)
