(Ax,Ay),(Bx,By)
(185,335,1, 0)
(779,174,2, 0)
(65,288,1, 0)
(711,427,2, 0)
(730,61,2, 0)
(589,303,0, 0)
(619,334,0, 0)
(69,268,1, 0)
(109,212,1, 0)
(57,418,1, 0)
(107,419,1, 0)
(112,94,1, 0)
(593,384,0, 0)
(141,98,1, 0)
(593,127,0, 0)
(255,164,1, 0)
(461,182,0, 0)
(182,40,1, 0)
(189,228,1, 0)
(360,383,1, 0)
(597,566,0, 0)
(538,246,0, 0)
(717,553,2, 0)
(418,85,0, 0)
(54,164,1, 0)
(391,377,0, 0)
(213,427,1, 0)
(187,514,1, 0)
(677,144,0, 0)
(619,463,0, 0)
(489,388,0, 0)
(639,466,0, 0)
(712,579,2, 0)
(127,19,1, 0)
(476,250,0, 0)
(601,203,0, 0)
(61,447,1, 0)
(595,178,0, 0)
(682,455,0, 0)
(724,201,2, 0)
(525,394,0, 0)
(758,230,0, 0)
(377,328,1, 0)
(737,419,2, 0)
(156,544,1, 0)
(65,488,1, 0)
(639,133,0, 0)
(410,394,0, 0)
(62,580,1, 0)
(361,276,1, 0)
(733,308,0, 0)
(689,317,0, 0)
(169,536,1, 0)
(237,231,1, 0)
(582,362,0, 0)
(733,178,2, 0)
(78,331,1, 0)
(25,532,1, 0)
(419,193,0, 0)
(271,566,0, 0)
(470,452,0, 0)
(81,244,1, 0)
(580,289,0, 0)
(485,372,0, 0)
(269,558,0, 0)
(42,285,1, 0)
(232,181,0, 0)
(466,351,0, 0)
(430,382,0, 0)
(205,545,1, 0)
(523,504,0, 0)
(120,123,1, 0)
(616,449,0, 0)
(312,18,0, 0)
(562,41,0, 0)
(257,420,1, 0)
(583,77,0, 0)
(371,540,0, 0)
(631,385,0, 0)
(95,97,1, 0)
(766,164,2, 0)
(742,232,0, 0)
(355,139,0, 0)
(702,45,2, 0)
(289,216,1, 0)
(581,82,0, 0)
(257,483,1, 0)
(240,252,1, 0)
(340,288,1, 0)
(201,550,1, 0)
(275,529,1, 0)
(474,159,0, 0)
(348,260,1, 0)
(301,260,0, 0)
(297,180,1, 0)
(373,412,1, 0)
(732,237,0, 0)
(780,98,2, 0)
(561,263,0, 0)
(434,545,0, 0)
(25,139,1, 0)
(153,471,1, 0)
(128,140,1, 0)
(25,516,1, 0)
(245,261,1, 0)
(509,141,0, 0)
(204,329,1, 0)
(356,548,0, 0)
(535,399,0, 0)
(697,465,2, 0)
(504,127,0, 0)
(210,470,1, 0)
(209,135,1, 0)
(532,516,0, 0)
(326,102,0, 0)
(658,353,0, 0)
(744,402,0, 0)
(392,186,0, 0)
(91,426,1, 0)
(590,68,0, 0)
(460,200,0, 0)
(381,540,0, 0)
(293,326,1, 0)
(516,119,0, 0)
(508,345,0, 0)
(260,348,1, 0)
(100,299,1, 0)
(340,41,0, 0)
(739,103,2, 0)
(572,68,0, 0)
(722,116,2, 0)
(725,454,2, 0)
(61,364,1, 0)
(255,445,1, 0)
(64,179,1, 0)
(323,410,1, 0)
(106,215,1, 0)
(521,31,0, 0)
(102,471,1, 0)
(595,209,0, 0)
(657,117,0, 0)
(720,488,2, 0)
(280,240,1, 0)
(517,543,0, 0)
(644,549,0, 0)
(266,393,1, 0)
(570,106,0, 0)
(394,98,0, 0)
(28,413,1, 0)
(542,463,0, 0)
(123,260,1, 0)
(29,215,1, 0)
(767,85,2, 0)
(658,250,0, 0)
(408,443,0, 0)
(201,241,1, 0)
(781,181,0, 0)
(403,526,0, 0)
(537,555,0, 0)
(277,136,1, 0)
(398,481,0, 0)
(741,474,2, 0)
(617,337,0, 0)
(662,482,0, 0)
(377,49,0, 0)
(683,330,0, 0)
(66,373,1, 0)
(368,247,1, 0)
(679,519,0, 0)
(631,530,0, 0)
(275,387,1, 0)
(682,330,0, 0)
(258,204,1, 0)
(605,236,0, 0)
(286,336,1, 0)
(23,386,1, 0)
(358,284,0, 0)
(531,269,0, 0)
(27,91,1, 0)
(33,475,1, 0)
(780,209,0, 0)
(264,186,1, 0)
(687,584,0, 0)
(90,566,1, 0)
(652,131,0, 0)
(740,406,2, 0)
(740,453,2, 0)
(418,428,0, 0)
(674,219,0, 0)
(168,210,1, 0)
(38,347,1, 0)
(56,368,1, 0)
(612,540,0, 0)
(55,69,1, 0)
(523,129,0, 0)
(151,114,1, 0)
(611,226,0, 0)
(382,203,1, 0)
(60,204,1, 0)
(455,498,0, 0)
(223,238,1, 0)
(15,58,1, 0)
(728,345,0, 0)
(608,289,0, 0)
(577,208,0, 0)
(245,60,1, 0)
(310,40,0, 0)
(304,409,1, 0)
(646,60,0, 0)
(114,294,1, 0)
(278,487,1, 0)
(540,308,0, 0)
(539,214,0, 0)
(360,426,1, 0)
(109,420,1, 0)
(267,69,1, 0)
(426,222,0, 0)
(611,348,0, 0)
(752,330,0, 0)
(638,47,0, 0)
(502,216,0, 0)
(23,555,1, 0)
(656,232,0, 0)
(299,491,1, 0)
(647,546,0, 0)
(401,470,0, 0)
(409,309,0, 0)
(660,447,0, 0)
(225,470,1, 0)
(698,106,2, 0)
(136,113,1, 0)
(589,73,0, 0)
(100,471,1, 0)
(37,176,1, 0)
(705,198,2, 0)
(656,503,0, 0)
(418,54,0, 0)
(25,128,1, 0)
(402,285,0, 0)
(207,240,0, 0)
(201,255,1, 0)
(376,212,1, 0)
(561,70,0, 0)
(645,82,0, 0)
(488,468,0, 0)
(298,50,0, 0)
(495,521,0, 0)
(381,128,0, 0)
(602,164,0, 0)
(650,47,0, 0)
(238,510,1, 0)
(219,187,1, 0)
(352,466,0, 0)
(387,292,1, 0)
(693,306,0, 0)
(154,403,0, 0)
(264,563,0, 0)
(450,318,0, 0)
(438,388,0, 0)
(323,328,1, 0)
(695,334,0, 0)
(677,24,0, 0)
(321,546,0, 0)
(242,399,1, 0)
(195,242,1, 0)
(604,417,0, 0)
(765,326,0, 0)
(645,26,0, 0)
(781,443,2, 0)
(510,569,0, 0)
(132,500,1, 0)
(516,428,0, 0)
(694,383,0, 0)
(101,457,1, 0)
(742,475,2, 0)
(331,131,1, 0)
(425,82,0, 0)
(116,225,1, 0)
(491,344,0, 0)
(301,563,0, 0)
(231,559,1, 0)
(256,118,1, 0)
(520,21,0, 0)
(434,326,0, 0)
(107,131,1, 0)
(122,570,1, 0)
(55,421,1, 0)
(758,287,0, 0)
(57,422,1, 0)
(782,220,0, 0)
(59,421,1, 0)
(38,279,1, 0)
(758,503,2, 0)
(643,147,0, 0)
(376,527,0, 0)
(159,373,1, 0)
(238,101,1, 0)
(430,161,0, 0)
(727,20,2, 0)
(523,329,0, 0)
(577,454,0, 0)
(436,38,0, 0)
(142,220,0, 0)
(151,458,1, 0)
(573,220,0, 0)
(33,115,1, 0)
(752,150,2, 0)
(649,547,0, 0)
(180,416,1, 0)
(755,572,2, 0)
(434,199,0, 0)
(621,199,0, 0)
(241,584,0, 0)
(540,395,0, 0)
(21,207,1, 0)
(748,333,0, 0)
(457,240,0, 0)
(87,233,1, 0)
(319,305,1, 0)
(438,408,0, 0)
(145,97,1, 0)
(353,179,1, 0)
(397,397,0, 0)
(61,584,1, 0)
(75,256,1, 0)
(650,67,0, 0)
(109,199,1, 0)
(637,272,0, 0)
(354,157,1, 0)
(243,202,1, 0)
(346,424,1, 0)
(416,328,0, 0)
(373,67,0, 0)
(88,37,1, 0)
(442,281,0, 0)
(390,213,0, 0)
(411,566,0, 0)
(438,40,0, 0)
(657,64,0, 0)
(495,328,0, 0)
(454,228,0, 0)
(649,346,0, 0)
(243,168,1, 0)
(173,60,1, 0)
(613,103,0, 0)
(63,514,1, 0)
(340,350,1, 0)
(24,399,1, 0)
(421,323,0, 0)
(376,234,1, 0)
(432,351,0, 0)
(584,374,0, 0)
(706,251,0, 0)
(263,305,1, 0)
(69,480,1, 0)
(726,566,2, 0)
(617,158,0, 0)
